shot,t_end,t_peak,t_hi,t_lo,ipk,ip_end_frac,t_after_lo,flat_before,quench_duration_s,is_fast,n_bridge,flipped,d_ms,logd,bin,lo_rel_end
14278,0.4862000000000001,0.4112,0.4122,0.41300000000000003,837915.1875,0.005436781181911087,0.07320000000000004,0.0010000000000000009,0.0007999999999999,True,1,False,0.7999999999999,-0.0969100130081107,"(14000, 17000]",73.20000000000005
14303,0.32620000000000005,0.25060000000000004,0.2522,0.2542,699582.375,0.006271545778472478,0.07200000000000006,0.0015999999999999348,0.002,True,3,False,2.0,0.3010299956639812,"(14000, 17000]",72.00000000000006
14328,0.5116,0.43620000000000003,0.43700000000000006,0.4396000000000001,800695.6875,-0.005852461913784193,0.07199999999999995,0.0008000000000000229,0.0025999999999998,True,2,False,2.5999999999998,0.4149733479707845,"(14000, 17000]",71.99999999999996
14356,0.4658000000000001,0.25660000000000005,0.3698,0.3942,764642.25,-0.001244906066698389,0.07160000000000011,0.11319999999999997,0.024399999999999,False,1,False,24.399999999999,1.3873898263387117,"(14000, 17000]",71.60000000000011
14385,0.36360000000000003,0.15220000000000003,0.2088,0.2914,894138.1875,0.0021131493276766293,0.07220000000000004,0.056599999999999984,0.0825999999999995,False,4,False,82.5999999999995,1.9169800473203795,"(14000, 17000]",72.20000000000005
14422,0.3268,0.2426,0.2522,0.25439999999999996,900290.1875,0.008357858014079211,0.07240000000000002,0.00959999999999997,0.0022,True,0,False,2.2,0.3424226808222063,"(14000, 17000]",72.40000000000002
14448,0.4414,0.18040000000000003,0.35840000000000005,0.3688,766122.0625,0.0029080985983140906,0.0726,0.17800000000000002,0.0103999999999995,True,1,False,10.3999999999995,1.0170333392987594,"(14000, 17000]",72.6
14477,0.47040000000000004,0.1812,0.38339999999999996,0.39780000000000004,768736.75,0.0024237055511139704,0.0726,0.20219999999999996,0.0143999999999994,True,0,False,14.3999999999994,1.1583624920952316,"(14000, 17000]",72.6
14505,0.4690000000000001,0.39460000000000006,0.3954,0.3964,783229.4375,0.0036701522586253662,0.07260000000000011,0.0007999999999999119,0.0009999999999999,True,0,False,0.9999999999999001,-4.339473599490009e-14,"(14000, 17000]",72.60000000000011
14532,0.5462,0.4516,0.4546,0.4750000000000001,873306.375,0.0035884722510577975,0.07119999999999993,0.0030000000000000027,0.0203999999999977,False,3,False,20.3999999999977,1.3096301674258497,"(14000, 17000]",71.19999999999993
14557,0.4242,0.3496,0.35040000000000004,0.35120000000000007,885724.375,0.005832407809391889,0.07299999999999995,0.0008000000000000229,0.0007999999999999,True,2,False,0.7999999999999,-0.0969100130081107,"(14000, 17000]",72.99999999999996
14584,0.5146000000000001,0.2458,0.38880000000000003,0.44820000000000004,754092.8125,0.005703455196786536,0.06640000000000001,0.14300000000000004,0.0593999999999975,False,4,False,59.399999999997505,1.7737864449811753,"(14000, 17000]",66.40000000000002
14611,0.4428000000000001,0.368,0.3688,0.36960000000000004,765838.625,0.00718809067702579,0.07320000000000004,0.0008000000000000229,0.0007999999999999,True,0,False,0.7999999999999,-0.0969100130081107,"(14000, 17000]",73.20000000000005
14638,0.45200000000000007,0.37760000000000005,0.3782,0.3792,915869.4375,0.0014576674648068355,0.07280000000000009,0.0005999999999999339,0.0009999999999999,True,1,False,0.9999999999999001,-4.339473599490009e-14,"(14000, 17000]",72.80000000000008
14791,0.3814000000000001,0.30579999999999996,0.30679999999999996,0.3094,973787.75,0.008047806586959017,0.07200000000000006,0.0010000000000000009,0.0025999999999999,True,0,False,2.5999999999999,0.41497334797080127,"(14000, 17000]",72.00000000000006
14818,0.46520000000000006,0.2104,0.37440000000000007,0.39339999999999997,769872.0,0.003510377069986959,0.07180000000000009,0.16400000000000006,0.0189999999999992,False,4,False,18.9999999999992,1.2787536009528107,"(14000, 17000]",71.80000000000008
14891,0.5406000000000001,0.45220000000000005,0.45500000000000007,0.4688,870514.1875,0.003992354092340684,0.07180000000000009,0.0028000000000000247,0.0137999999999994,True,5,False,13.7999999999994,1.1398790864012176,"(14000, 17000]",71.80000000000008
