shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
14965,True,,False,0.00019999999999999185,3218,768173.6875,0.07499999999999694,False,2
14998,True,,False,0.00019999999999999185,3219,871106.9375,0.004999999999999796,True,6
15021,True,,False,0.00019999999999999185,3208,900265.6875,0.004799999999999804,True,2
15054,True,,False,0.00019999999999999185,2687,702043.0,0.05539999999999774,False,6
15078,True,,False,0.0001999999999999988,2453,802569.8125,0.06899999999999959,False,6
15099,True,,False,0.00019999999999999185,2667,814971.0625,0.002399999999999902,True,2
15125,True,,False,0.00019999999999999185,2721,786463.375,0.050199999999997955,False,5
15153,True,,False,0.00020000000000000573,1834,631251.5625,0.00140000000000004,True,0
15183,True,,False,0.00019999999999999185,2590,779864.9375,0.002599999999999894,True,4
15211,True,,False,0.0001999999999999988,2451,879287.75,0.0023999999999999855,True,0
15235,True,,False,0.0001999999999999988,2538,844241.625,0.0025999999999999843,True,8
15266,True,,False,0.00019999999999999185,2943,811372.625,0.07219999999999706,False,3
15288,True,,False,0.00020000000000000573,2087,1066906.375,0.0024000000000000687,True,6
15317,True,,False,0.00019999999999999185,2962,830237.5625,0.07639999999999689,False,4
15350,True,,False,0.00019999999999999185,3150,763254.5625,0.04519999999999816,False,1
15375,True,,False,0.0001999999999999988,2294,898607.4375,0.0007999999999999952,True,0
15452,True,,False,0.00019999999999999185,3226,1013664.25,0.006599999999999731,True,4
15490,True,,False,0.00019999999999999185,3212,766316.125,0.07179999999999707,False,6
15513,True,,False,0.00019999999999997797,3265,729377.8125,0.08379999999999077,False,4
15540,True,,False,0.0001999999999999988,2312,948205.0625,0.002799999999999983,True,1
15567,True,,False,0.00019999999999999185,2828,641972.6875,0.0097999999999996,True,3
15593,True,,False,0.00019999999999999185,3046,750655.8125,0.002399999999999902,True,1
15618,True,,False,0.00019999999999999185,3083,944165.4375,0.002399999999999902,True,2
15644,True,,False,0.00019999999999999185,2651,624528.375,0.0007999999999999674,True,1
15670,True,,False,0.00019999999999997797,3615,721807.4375,0.12599999999998612,False,3
15697,True,,False,0.0001999999999999988,2487,896642.875,0.002799999999999983,True,3
15733,True,,False,0.00019999999999999185,3179,472194.15625,0.001399999999999943,True,3
15770,True,,False,0.0001999999999999988,2260,1258373.75,0.0025999999999999843,True,4
15808,True,,False,0.00019999999999999185,2859,907027.4375,0.002599999999999894,True,1
15837,True,,False,0.00019999999999999185,2726,807859.0625,0.002599999999999894,True,0
15861,True,,False,0.00019999999999999185,3223,970630.875,0.007199999999999707,True,1
15895,True,,False,0.00019999999999999185,2600,1370332.0,0.0029999999999998778,True,3
15932,True,,False,0.00020000000000000573,2171,855100.4375,0.002200000000000063,True,2
15960,True,,False,0.0001999999999999988,2236,1091476.125,0.000999999999999994,True,0
15985,True,,False,0.00019999999999999185,2773,948994.1875,0.034999999999998574,False,3
16013,True,,False,0.00019999999999999185,2731,948185.9375,0.0031999999999998696,True,0
16038,True,,False,0.00019999999999999185,3082,1107632.75,0.0031999999999998696,True,3
16061,True,,False,0.0001999999999999988,2497,1138822.75,0.0033999999999999794,True,0
16089,True,,False,0.00019999999999999185,2861,769676.0,0.019199999999999218,False,1
16120,True,,False,0.00019999999999999185,2628,869166.5625,0.007199999999999707,True,1
16145,True,,False,0.0001999999999999988,2284,890910.5,0.002999999999999982,True,0
16170,True,,False,0.00019999999999999185,2897,821071.25,0.0029999999999998778,True,2
16197,True,,False,0.00020000000000000573,1828,1007220.125,0.00280000000000008,True,4
16222,True,,False,0.00019999999999999185,3013,760581.0,0.03239999999999868,False,2
16248,True,,False,0.00019999999999999185,3013,854964.625,0.002599999999999894,True,3
16272,True,,False,0.0001999999999999988,2353,923854.4375,0.00499999999999997,True,8
16295,True,,False,0.00019999999999999185,2585,861808.0,0.002599999999999894,True,0
16321,True,,False,0.00019999999999997797,3394,818207.5625,0.0007999999999999119,True,1
16345,True,,False,0.00019999999999997797,3301,735581.125,0.07339999999999192,False,2
16375,True,,False,0.00019999999999999185,2861,1179205.125,0.025199999999998973,False,3
16400,True,,False,0.00019999999999999185,2915,770094.0,0.023199999999999055,False,2
16429,True,,False,0.00019999999999999185,2840,825495.8125,0.002799999999999886,True,1
16453,True,,False,0.00019999999999999185,2749,840995.875,0.002799999999999886,True,1
16478,True,,False,0.00019999999999997797,3384,291399.0,0.17599999999998062,False,3
16575,True,,False,0.0001999999999999988,2408,609351.1875,0.0335999999999998,False,6
16601,True,,False,0.00019999999999999185,2690,766367.1875,0.0029999999999998778,True,4
16644,True,,False,0.00019999999999997797,3301,624946.375,0.07559999999999167,False,4
16680,True,,False,0.00019999999999999185,3087,764554.4375,0.07779999999999683,False,1
16703,True,,False,0.00019999999999997797,3489,440724.78125,0.06999999999999229,False,4
16730,True,,False,0.00019999999999999185,2748,788825.75,0.06299999999999743,False,3
16791,True,,False,0.00019999999999997797,3718,418297.09375,0.060599999999993326,False,0
16827,True,,False,0.00019999999999999185,2994,572814.875,0.09159999999999627,False,1
16868,True,,False,0.00020000000000000573,2191,960195.25,0.00280000000000008,True,3
16938,True,,False,0.00020000000000000573,2137,927257.375,0.0026000000000000745,True,2
16960,True,,False,0.00019999999999997797,3284,521714.125,0.058799999999993524,False,1
16984,True,,False,0.0001999999999999988,2238,1015776.0625,0.002999999999999982,True,0
17007,True,,False,0.00019999999999999185,2813,634438.5,0.07259999999999704,False,5
17038,True,,False,0.00019999999999999185,2986,916974.9375,0.002799999999999886,True,1
17064,True,,False,0.00019999999999999185,3125,771635.4375,0.002799999999999886,True,1
17087,True,,False,0.0001999999999999988,2349,882112.625,0.002999999999999982,True,2
17111,True,,False,0.00019999999999999185,2612,922993.75,0.0033999999999998615,True,3
17138,True,,False,0.0001999999999999988,2328,828412.5625,0.002799999999999983,True,5
17165,True,,False,0.00019999999999997797,3265,446944.8125,0.022999999999997467,False,2
17188,True,,False,0.0001999999999999988,2220,888970.8125,0.0025999999999999843,True,0
17210,True,,False,0.0001999999999999988,2513,951422.25,0.0031999999999999806,True,4
17274,True,,False,0.00019999999999997797,3481,288480.21875,0.00039999999999995595,True,5
17381,True,,False,0.0001999999999999988,2471,881831.6875,0.002799999999999983,True,3
17414,True,,False,0.00019999999999999185,2651,765850.6875,0.0857999999999965,False,0
17439,True,,False,0.00019999999999999185,2986,583251.3125,0.013799999999999438,True,1
17462,True,,False,0.00019999999999997797,3348,736419.25,0.09879999999998912,False,3
17491,True,,False,0.00019999999999999185,3092,928127.375,0.0031999999999998696,True,1
17516,True,,False,0.00019999999999999185,3226,794169.25,0.002399999999999902,True,2
17536,True,,False,0.00019999999999999185,2888,846274.875,0.0029999999999998778,True,2
17568,True,,False,0.00019999999999999185,2661,872741.8125,0.002599999999999894,True,2
17595,True,,False,0.0001999999999999988,2417,1062727.375,0.0021999999999999867,True,1
17622,True,,False,0.00019999999999997797,3419,761328.0,0.11499999999998733,False,6
17646,True,,False,0.0001999999999999988,2479,942905.75,0.002999999999999982,True,0
17667,True,,False,0.0001999999999999988,2365,981663.0625,0.0033999999999999794,True,7
17692,True,,False,0.0001999999999999988,2375,956267.375,0.0031999999999999806,True,1
17719,True,,False,0.0001999999999999988,2238,954969.0625,0.002999999999999982,True,8
17741,True,,False,0.00019999999999999185,2985,715960.4375,0.0009999999999999593,True,2
17767,True,,False,0.00019999999999999185,2688,883989.5625,0.0035999999999998533,True,0
17788,True,,False,0.00019999999999997797,3352,745276.8125,0.039999999999995595,False,2
17813,True,,False,0.0001999999999999988,2287,934147.0625,0.0031999999999999806,True,6
17836,True,,False,0.00019999999999999185,3209,726029.1875,0.07459999999999696,False,2
