shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
14164,True,,False,0.00019999999999999185,2903,633167.4375,0.0637999999999974,False,2
14192,True,,False,0.00019999999999999185,2821,764912.625,0.01619999999999934,False,5
14218,True,,False,0.0001999999999999988,2348,816428.375,0.0021999999999999867,True,2
14241,True,,False,0.00019999999999999185,2724,1225766.875,0.002599999999999894,True,4
14278,True,,False,0.00019999999999999185,2932,837915.1875,0.0007999999999999674,True,1
14303,True,,False,0.00020000000000000573,2132,699582.375,0.0020000000000000573,True,3
14328,True,,False,0.00019999999999999185,3059,800695.6875,0.002599999999999894,True,2
14356,True,,False,0.00019999999999999185,2830,764642.25,0.024399999999999006,False,1
14385,True,,False,0.0001999999999999988,2319,894138.1875,0.08259999999999951,False,4
14422,True,,False,0.00020000000000000573,2135,900290.1875,0.002200000000000063,True,0
14448,True,,False,0.00019999999999999185,2708,766122.0625,0.010399999999999576,True,1
14477,True,,False,0.00019999999999999185,2853,768736.75,0.014399999999999413,True,0
14505,True,,False,0.00019999999999999185,2846,783229.4375,0.0009999999999999593,True,0
14532,True,,False,0.00019999999999997797,3232,873306.375,0.020399999999997753,False,3
14557,True,,False,0.00019999999999999185,2622,885724.375,0.0007999999999999674,True,2
14584,True,,False,0.00019999999999999185,3074,754092.8125,0.05939999999999758,False,4
14611,True,,False,0.00019999999999999185,2715,765838.625,0.0007999999999999674,True,0
14638,True,,False,0.00019999999999999185,2761,915869.4375,0.0009999999999999593,True,1
14791,True,,False,0.0001999999999999988,2408,973787.75,0.0025999999999999843,True,0
14818,True,,False,0.00019999999999999185,2827,769872.0,0.018999999999999226,False,4
14891,True,,False,0.00019999999999999185,3204,870514.1875,0.013799999999999438,True,5
14951,True,,False,0.00019999999999999185,3078,505920.25,0.001199999999999951,True,1
14982,True,,False,0.00019999999999999185,3155,474872.5,0.028399999999998843,False,3
15009,True,,False,0.00020000000000000573,1879,951831.875,0.00280000000000008,True,8
15040,True,,False,0.0001999999999999988,2345,899340.6875,0.000999999999999994,True,2
15065,True,,False,0.0001999999999999988,2207,946921.125,0.0007999999999999952,True,2
15089,True,,False,0.00020000000000000573,1913,785740.375,0.002200000000000063,True,2
15114,True,,False,0.00019999999999999185,2554,833881.5625,0.002799999999999886,True,0
15141,True,,False,0.00019999999999999185,2918,759647.75,0.03019999999999877,False,3
15169,True,,False,0.00019999999999999185,2591,777499.875,0.00859999999999965,True,2
15198,True,,False,0.00019999999999999185,2965,702127.3125,0.07099999999999711,False,2
15224,True,,False,0.00019999999999999185,2574,784167.0625,0.0019999999999999185,True,3
15254,True,,False,0.0001999999999999988,2412,970766.875,0.0031999999999999806,True,0
15278,True,,False,0.00019999999999999185,2989,667920.625,0.07459999999999696,False,3
15306,True,,False,0.00020000000000000573,2143,1045346.8125,0.0010000000000000286,True,0
15331,True,,False,0.00020000000000000573,1822,751155.0,0.0024000000000000687,True,10
15363,True,,False,0.00019999999999999185,2742,726271.5625,0.02499999999999898,False,0
15442,True,,False,0.00019999999999999185,3166,813481.125,0.005599999999999772,True,2
15477,True,,False,0.00019999999999999185,3225,767279.5,0.07679999999999687,False,3
15501,True,,False,0.00019999999999999185,3150,729945.5625,0.08119999999999669,False,4
15526,True,,False,0.0001999999999999849,3229,766928.0625,0.08599999999999351,False,2
15555,True,,False,0.00019999999999997797,3879,469586.90625,0.03959999999999564,False,0
15582,True,,False,0.00019999999999999185,2942,844509.625,0.0029999999999998778,True,0
15607,True,,False,0.00019999999999999185,3035,743258.375,0.0465999999999981,False,2
15630,True,,False,0.00019999999999999185,2933,984076.375,0.0009999999999999593,True,0
15656,True,,False,0.00019999999999999185,2861,770025.875,0.01939999999999921,False,8
15683,True,,False,0.00019999999999999185,3157,758262.9375,0.006599999999999731,True,7
15722,True,,False,0.00019999999999999185,2644,847426.8125,0.0019999999999999185,True,0
15751,True,,False,0.00019999999999997797,3517,734273.9375,0.08419999999999073,False,3
15795,True,,False,0.00019999999999997797,3261,728586.375,0.0771999999999915,False,5
15826,True,,False,0.00019999999999997797,3342,744221.375,0.10919999999998797,False,2
